title     appeared  type rank
Java 1995 pl   0
JavaScript     1995 pl   1
C    1972 pl   2
Python    1991 pl   3
SQL  1974 queryLanguage  4
C++  1985 pl   5
Linux     1991 os   6
HTML 1991 textMarkup     7
XML  1996 dataNotation   8
PHP  1995 pl   9
Perl 1987 pl   10
MATLAB    1984 pl   11
Ruby 1995 pl   12
C#   2000 pl   13
Android   2008 os   14
MySQL     1995 queryLanguage  15
Fortran   1957 pl   16
CSS  1996 stylesheetLanguage  17
R    1993 pl   18
Go   2009 pl   19
JSON 2001 dataNotation   20
iOS  2007 os   21
Swift     2014 pl   22
Scala     2004 pl   23
Ada  1980 pl   24
COBOL     1959 pl   25
Rust 2010 pl   26
PostgreSQL     1986 queryLanguage  27
Kotlin    2011 pl   28
PowerShell     2006 pl   29
Arduino Programming Language  2005 pl   30
Pascal    1970 pl   31
Haskell   1990 pl   32
TypeScript     2012 pl   33
SAS  1976 pl   34
ARM  1985 assembly  35
Lisp 1958 pl   36
Lua  1993 pl   37
Node.js   2009 pl   38
Julia     2012 pl   39
Prolog    1972 pl   40
Clojure   2007 pl   41
HTTP 1989 protocol  42
Objective-C    1984 pl   43
Assembly language   1960 assembly  44
Scheme    1970 pl   45
Mathematica    1988 pl   46
Erlang    1986 pl   47
Bash 1989 pl   48
JQuery    2006 library   49
ISBN 1970 schema    50
Elixir    2011 pl   51
CUDA 2007 pl   52
Dart 2011 pl   53
Emacs     1976 editor    54
Modula-2  1978 pl   55
MongoDB   2009 application    56
Visual Basic   1991 pl   57
Tcl  1988 pl   58
ActionScript   1998 pl   59
VBA  1993 pl   60
WordPress 2003 application    61
Vim  1991 editor    62
Ruby on Rails  2005 framework 63
BASIC     1964 pl   64
Verilog   1984 hardwareDescriptionLanguage   65
Solidity  2014 contractLanguage    66
awk  1977 pl   67
Delphi    1995 pl   68
ASCII     1963 characterEncoding   69
F#   2005 pl   70
AWS  2006 cloud     71
Regular Expressions 1951 queryLanguage  72
Elm  2012 pl   73
Eiffel    1986 pl   74
ASP  1996 template  75
Crystal   2014 pl   76
OCaml     1996 pl   77
Smalltalk 1972 pl   78
Git  2005 application    79
Modula-3  1986 pl   80
Yacc 1975 grammarLanguage     81
Racket    1994 pl   82
D    2001 pl   83
Unix 1969 os   84
Sage 2005 pl   85
Reason    2016 pl   86
Groovy    2003 pl   87
UML  1996 xmlFormat 88
Maple     1982 pl   89
Common Lisp    1984 pl   90
Unicode   1987 characterEncoding   91
CoffeeScript   2009 pl   92
VHDL 1983 hardwareDescriptionLanguage   93
APL  1964 pl   94
OpenCL    2009 pl   95
YAML 2001 dataNotation   96
Microsoft Azure     2010 cloud     97
UTF-8     1993 characterEncoding   98
DOI  2000 schema    99
MediaWiki 2002 wikiMarkup     100
REST 1996 protocol  101
Microsoft Excel     1987 application    102
XQuery    2007 pl   103
PostScript     1982 textMarkup     104
Nginx     2004 configFormat   105
GraphQL   2012 queryLanguage  106
SPSS 1968 pl   107
PowerPC   1992 isa  108
Eclipse   2001 editor    109
TLS  1999 protocol  110
FTP  1971 protocol  111
Visual Studio  1997 editor    112
WebAssembly    2015 bytecode  113
SOAP 1998 xmlFormat 114
Literate CoffeeScript    2013 pl   115
Vue  2014 framework 116
Matplotlib     2003 library   117
Rexx 1979 pl   118
ANTLR     1992 grammarLanguage     119
Nim  2008 pl   120
Pug  2010 template  121
X86  1978 isa  122
Liquid    2008 template  123
TCP  1974 protocol  124
SciPy     2001 library   125
Smali     2010 assembly  126
Scratch   2002 visual    127
Markdown  2004 textMarkup     128
LFE  2008 pl   129
LaTeX     1985 textMarkup     130
Haxe 2005 pl   131
Forth     1970 pl   132
Visual Basic .NET   2001 pl   133
SMTP 1982 protocol  134
PureBasic 1998 pl   135
ML   1973 pl   136
Solaris   1992 os   137
Chapel    2004 pl   138
fish 2005 pl   139
VBScript  1996 pl   140
PDF  1993 binaryDataFormat    141
LabVIEW G 1986 pl   142
Oberon    1986 pl   143
CIL  2000 pl   144
Applescript    1993 pl   145
Lasso     1995 pl   146
LLVM IR   2003 ir   147
Oz   1991 pl   148
Red  2011 pl   149
ECMAScript     1997 pl   150
Idris     2014 pl   151
Simula    1965 pl   152
V    2019 pl   153
Protocol Buffers    2008 idl  154
SQLite    2000 queryLanguage  155
UDP  1980 protocol  156
Tex  1978 pl   157
Logo 1967 pl   158
AMPL 1985 pl   159
OpenGL    1992 library   160
sed  1974 pl   161
PicoLisp  1988 pl   162
FreeBSD   1993 os   163
Standard ML    1990 pl   164
Visual Studio Code  2015 editor    165
Drupal    2000 application    166
JVM  1994 vm   167
BCPL 1966 pl   168
Apache Maven   2004 application    169
Dylan     1992 pl   170
PL/SQL    1991 pl   171
Unity     2005 library   172
PureScript     2013 pl   173
REBOL     1997 pl   174
FLUX 2014 pl   175
Processing     2001 pl   176
MIPS architecture   1985 isa  177
Hack 2014 pl   178
URL  1994 schema    179
Org  2003 textMarkup     180
OWL  2004 xmlFormat 181
SVG  2001 textMarkup     182
Monaco Editor  2016 editor    183
Brainfuck 1993 esolang   184
Algol     1958 pl   185
FAT  1977 filesystem     186
DOT  2007 textMarkup     187
Squirrel  2003 pl   188
Coq  1989 pl   189
Fantom    2005 pl   190
FLEX 1987 grammarLanguage     191
Monkey    2011 pl   192
Jinja     2006 template  193
AUTOCAD   1982 application    194
BlitzBasic     2000 pl   195
ABAP 1983 pl   196
Limbo     1995 pl   197
EuLisp    1985 pl   198
Agda 2007 pl   199
HAML 2006 template  200
RDF  1997 dataNotation   201
GAME 1977 pl   202
MUMPS     1966 pl   203
x86 Assembly   1972 assembly  204
ColdFusion     1995 pl   205
Occam     1983 pl   206
J    1990 pl   207
Emacs Lisp     1985 pl   208
AutoIt    1999 pl   209
Qt   1995 framework 210
Zig  2015 pl   211
NewLisp   1991 pl   212
Nearley   2014 grammarLanguage     213
Jison     2009 pl   214
Makefile  1976 pl   215
Vala 2006 pl   216
MIME 1991 textDataFormat 217
MoonScript     2011 pl   218
Nemerle   2003 pl   219
XAML 2008 xmlFormat 220
TOML 2013 dataNotation   221
